06/24/17 09:27,46.3,9474,456,224,1439,229,107
06/23/17 04:35,24,5604,709,234,5272,467,173
06/22/17 11:11,21.9,713,114,67,4336,47,16
06/24/17 02:13,18,875,711,433,14613,391,639
06/14/17 04:48,15.5,8763,643,834,848,193,598
06/24/17 07:27,13.8,2003,338,156,5151,225,340
05/04/17 04:06,12.6,34,423,173,6261,395,976
06/23/17 11:25,12.6,4139,68,175,12362,167,154
06/24/17 09:10,12.4,1077,190,522,5216,264,787
06/23/17 11:40,12.2,5752,320,336,1404,308,640
04/27/17 02:47,10.8,2272,394,640,1432,133,242
06/13/17 03:50,9.9,3735,384,587,7612,385,529
06/24/17 04:49,9.4,4391,228,868,8392,348,843
06/19/17 02:55,9.1,6027,402,202,7580,383,397
04/25/17 03:13,8.2,2144,118,755,12622,466,760
06/23/17 07:14,7.5,4292,551,677,12687,496,54
06/24/17 05:45,7.5,3192,597,514,12346,85,297
06/22/17 09:21,7,8013,434,582,4894,488,271
06/24/17 01:58,6.9,4,356,241,1026,405,922
04/20/17 06:03,6.9,9663,817,751,13403,73,324
06/23/17 05:01,6.9,3816,36,266,13371,89,39
06/23/17 10:58,6.8,8460,48,419,4348,123,366
06/23/17 04:12,6.7,9994,112,765,3521,375,202
06/24/17 03:15,6.6,9903,845,677,10895,66,688
06/24/17 04:17,6.5,1318,873,375,1555,253,567
06/22/17 06:27,6.4,5535,343,206,13881,99,93
