06/24/17 03:56,29,7102,840,887,9652,265,473
06/24/17 03:40,12,5337,264,503,3227,285,38
06/24/17 07:33,69,1321,152,457,4987,171,313
05/31/17 06:03,65,2003,899,292,9652,111,168
06/23/17 10:42,84,330,70,896,10889,179,107
06/24/17 03:38,57,5633,611,514,6213,481,660
06/24/17 06:25,43,7377,364,642,12831,62,884
06/24/17 05:44,54.1,6545,682,359,12119,20,181
06/24/17 04:19,50,7618,865,31,1077,294,987
06/23/17 12:47,45.3,2162,479,944,2986,114,465
06/24/17 04:45,73,5898,539,412,5640,291,890
06/11/17 04:03,37.6,8619,2,508,1825,372,231
06/24/17 07:42,36.4,8797,81,571,1161,495,867
06/19/17 05:49,35.6,6485,741,778,14006,498,393
06/19/17 09:07,35.2,7675,313,130,4754,427,620
06/23/17 01:04,33.8,9379,800,7,12383,470,917
06/24/17 06:40,33.6,6772,364,59,12822,359,532
06/22/17 03:34,32.5,9085,702,465,4291,134,530
06/23/17 09:05,32,1405,588,38,2564,322,645
06/24/17 03:53,31.9,363,273,426,14103,480,601
05/15/17 03:25,31.8,1383,757,933,13780,268,741
06/24/17 07:40,30.7,2012,134,459,14308,181,13
06/24/17 01:42,29.4,8700,466,113,2885,312,988
01/30/17 01:08,29.4,8555,774,975,11044,299,835
06/23/17 07:23,29.1,3886,324,390,2425,68,668
05/14/17 06:32,27.8,3972,201,917,1004,49,602
06/23/17 08:18,27.6,2331,613,302,6607,253,93
06/24/17 05:56,27.2,2667,491,892,6175,496,768
05/18/17 08:04,26.9,4935,937,301,12034,4,920
06/24/17 02:51,26.6,5328,86,924,3488,267,589
06/24/17 06:59,26.6,3556,943,843,8452,83,637
06/23/17 11:34,26.4,8464,291,864,14095,410,200
06/24/17 02:57,25.9,252,448,458,3686,193,839
06/24/17 07:09,25.7,835,140,366,997,265,68
06/20/17 09:55,24.3,8003,274,574,11112,188,356
06/06/17 07:46,23.1,4609,364,858,1203,292,610
06/23/17 06:06,23,4339,257,770,11735,51,110
06/24/17 07:31,23,5048,454,907,3368,237,670
06/22/17 06:24,22.8,6235,256,552,7143,322,179
06/23/17 08:57,21.8,6935,44,472,2012,321,531
06/23/17 04:21,21.6,2731,687,371,2090,344,650
06/24/17 08:00,21.5,4128,50,839,13664,391,400
06/21/17 07:35,21.3,5731,193,359,9608,28,165
06/19/17 03:36,20.9,145,967,643,4239,330,391
06/12/17 09:37,20.6,1047,326,51,10856,425,384
06/21/17 05:15,20.5,1034,635,437,14650,33,363
06/13/17 11:15,20.4,6713,100,881,2130,186,321
06/23/17 03:56,19.5,6468,320,16,12942,138,162
05/30/17 10:30,19.5,6172,594,711,9543,390,558
06/24/17 01:17,19.3,4446,616,712,4614,427,0
06/24/17 08:04,18.7,8455,289,109,13546,299,380
06/22/17 07:26,18.7,1584,71,506,14545,439,651
06/23/17 02:08,18.6,9872,937,206,6149,189,31
06/06/17 06:06,18.6,9976,86,753,4766,59,453
06/23/17 08:48,18.3,6590,998,932,8565,65,83
06/24/17 07:06,18,1344,292,585,556,128,879
06/15/17 02:22,17.8,6366,119,774,5852,349,336
06/23/17 11:37,43,6563,186,659,1134,345,904
06/24/17 04:55,17.3,7682,822,797,14614,43,390
06/22/17 12:50,17.3,5901,136,953,438,228,714
06/22/17 06:57,16.8,926,306,84,12835,121,350
06/23/17 09:47,16.7,6035,486,184,11205,272,576
06/15/17 06:49,54,33,543,759,9671,227,843
06/22/17 03:08,16.4,415,59,326,3413,394,535
06/23/17 01:18,16.3,9908,489,374,9931,257,832
06/19/17 06:12,16.1,6250,464,106,4228,87,457
06/21/17 07:23,16.1,1640,529,692,9356,319,649
06/20/17 05:01,16.1,7092,403,772,402,323,810
06/08/17 09:43,15.9,1678,539,872,1737,456,44
05/30/17 12:34,15.7,1787,308,709,4850,399,633
06/23/17 12:18,15.6,3487,231,603,9033,206,150
06/03/17 07:23,72,8104,673,507,10033,213,245
06/08/17 09:20,15.4,7090,94,909,6798,156,437
06/22/17 09:09,15.2,2949,444,69,10967,432,538
06/24/17 01:13,15.2,6463,152,479,7066,387,68
05/30/17 04:15,15.1,1707,1,447,3834,437,837
05/23/17 11:39,15.1,8043,867,581,5535,48,164
06/22/17 10:31,14.9,4243,147,471,13562,104,504
06/08/17 07:50,14.8,8636,985,900,11167,396,367
06/23/17 01:21,14.8,800,117,365,733,330,173
06/15/17 06:30,14.7,3817,792,719,7696,37,304
06/19/17 01:38,34,8097,170,507,8329,194,62
06/22/17 08:37,14.7,2558,977,625,11904,169,89
06/20/17 12:43,14.6,3660,583,691,2024,443,574
06/21/17 12:40,14.4,9501,428,510,4580,492,940
06/24/17 06:29,14.4,4375,723,288,11364,266,369
05/01/17 03:05,14.3,6856,357,44,2589,24,623
